AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary,NEW_HitRatio,NEW_RunRatio,NEW_CHitRatio,NEW_CRunRatio,NEW_Avg_AtBat,NEW_Avg_Hits,NEW_Avg_HmRun,NEW_Avg_Runs,NEW_Avg_RBI,NEW_Avg_Walks,League_N,Division_W,NewLeague_N
313,78,6,32,41,12,12,3742,968,35,409,321,170,106,206,7,416.667,0.24920127795527156,0.1875,0.2586851950828434,0.08557457212713937,311.8333333333333,80.66666666666667,2.9166666666666665,34.083333333333336,26.75,14.166666666666666,1,1,1
416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,90.0,0.27163461538461536,0.41379310344827586,0.27163461538461536,0.41379310344827586,416.0,113.0,24.0,58.0,69.0,16.0,0,0,0
155,44,6,21,23,15,16,6631,1634,98,698,661,777,53,88,3,275.0,0.2838709677419355,0.2857142857142857,0.24641833810888253,0.14040114613180515,414.4375,102.125,6.125,43.625,41.3125,48.5625,1,0,1
236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,230.0,0.23728813559322035,0.0,0.242152466367713,0.008620689655172414,278.75,67.5,0.25,29.0,16.0,14.25,0,1,0
216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,225.0,0.24537037037037038,0.03225806451612903,0.2267818574514039,0.07627118644067797,231.5,52.5,2.25,29.5,17.25,28.5,1,1,1
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,0,950.0,0.2376068376068376,0.3333333333333333,0.2626557116353035,0.27607361963190186,443.88235294117646,116.58823529411765,18.529411764705884,67.11764705882354,69.3529411764706,42.76470588235294,0,0,0
199,53,5,29,22,21,3,514,120,8,57,40,39,152,3,5,75.0,0.2663316582914573,0.1724137931034483,0.23346303501945526,0.14035087719298245,171.33333333333334,40.0,2.6666666666666665,19.0,13.333333333333334,13.0,0,1,0
521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,105.0,0.272552783109405,0.29850746268656714,0.25153374233128833,0.2222222222222222,203.75,51.25,5.5,24.75,25.75,19.5,0,0,0
311,81,3,42,30,26,17,8247,2198,100,950,909,690,153,223,10,320.0,0.2604501607717042,0.07142857142857142,0.2665211592094095,0.10526315789473684,485.11764705882354,129.2941176470588,5.882352941176471,55.88235294117647,53.470588235294116,40.588235294117645,1,1,1
512,131,26,69,96,52,14,5347,1397,221,712,815,548,119,216,12,850.0,0.255859375,0.37681159420289856,0.26126800074808304,0.3103932584269663,381.92857142857144,99.78571428571429,15.785714285714286,50.857142857142854,58.214285714285715,39.142857142857146,0,1,0
507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,808,108,2,535.0,0.2406311637080868,0.3717948717948718,0.25086973328179357,0.29531914893617023,431.1666666666667,108.16666666666667,19.27777777777778,65.27777777777777,64.0,76.66666666666667,0,0,0
529,137,26,86,97,97,15,6661,1785,291,1082,949,989,280,10,5,933.333,0.2589792060491493,0.3023255813953488,0.2679777811139469,0.2689463955637708,444.06666666666666,119.0,19.4,72.13333333333334,63.266666666666666,65.93333333333334,0,0,0
424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,850.0,0.2806603773584906,0.10526315789473684,0.2864968501780334,0.06941431670281996,405.6666666666667,116.22222222222223,3.5555555555555554,51.22222222222222,33.44444444444444,12.444444444444445,0,0,1
351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,210.0,0.27635327635327633,0.07272727272727272,0.28060413354531,0.08163265306122448,314.5,88.25,4.0,49.0,27.5,29.25,1,1,0
388,103,15,59,47,39,6,2174,555,80,285,274,186,182,9,4,325.0,0.2654639175257732,0.2542372881355932,0.25528978840846367,0.2807017543859649,362.3333333333333,92.5,13.333333333333334,47.5,45.666666666666664,31.0,0,1,0
339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,275.0,0.2831858407079646,0.10810810810810811,0.2725563909774436,0.08943089430894309,266.0,72.5,2.75,30.75,27.0,13.75,0,1,0
255,70,7,49,35,43,15,6311,1661,154,1019,608,820,51,54,8,450.0,0.27450980392156865,0.14285714285714285,0.2631912533671367,0.15112855740922473,420.73333333333335,110.73333333333333,10.266666666666667,67.93333333333334,40.53333333333333,54.666666666666664,1,0,1
329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,600.0,0.25227963525835867,0.18,0.2476489028213166,0.25217391304347825,425.3333333333333,105.33333333333333,16.11111111111111,63.888888888888886,58.666666666666664,70.55555555555556,0,1,0
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,278,9,9,1041.667,0.2731554160125589,0.34831460674157305,0.30087706258361824,0.25255623721881393,480.5,144.57142857142858,17.642857142857142,69.85714285714286,78.07142857142857,35.357142857142854,1,1,1
280,82,16,44,45,47,2,428,113,25,61,70,63,148,4,2,110.0,0.29285714285714287,0.36363636363636365,0.26401869158878505,0.4098360655737705,214.0,56.5,12.5,30.5,35.0,31.5,0,0,0
155,41,12,21,29,22,16,5409,1338,181,746,805,875,165,9,1,260.0,0.2645161290322581,0.5714285714285714,0.2473655019412091,0.24262734584450402,338.0625,83.625,11.3125,46.625,50.3125,54.6875,0,1,0
458,114,13,67,57,48,4,1350,298,28,160,123,122,246,389,18,475.0,0.24890829694323144,0.19402985074626866,0.22074074074074074,0.175,337.5,74.5,7.0,40.0,30.75,30.5,0,1,0
314,83,13,39,46,16,5,1457,405,28,156,159,76,533,40,4,431.5,0.2643312101910828,0.3333333333333333,0.2779684282772821,0.1794871794871795,291.4,81.0,5.6,31.2,31.8,15.2,0,1,0
475,123,27,76,93,72,4,1810,471,108,292,343,267,226,10,6,1220.0,0.25894736842105265,0.35526315789473684,0.26022099447513813,0.3698630136986301,452.5,117.75,27.0,73.0,85.75,66.75,1,0,1
317,78,7,35,35,32,1,317,78,7,35,35,32,45,122,26,70.0,0.24605678233438485,0.2,0.24605678233438485,0.2,317.0,78.0,7.0,35.0,35.0,32.0,0,0,0
511,138,25,76,96,61,3,592,164,28,87,110,71,157,7,8,145.0,0.2700587084148728,0.32894736842105265,0.27702702702702703,0.3218390804597701,197.33333333333334,54.666666666666664,9.333333333333334,29.0,36.666666666666664,23.666666666666668,0,1,0
382,119,13,54,58,36,12,2133,594,41,287,294,227,59,156,9,595.0,0.31151832460732987,0.24074074074074073,0.27848101265822783,0.14285714285714285,177.75,49.5,3.4166666666666665,23.916666666666668,24.5,18.916666666666668,1,1,1
415,115,27,97,71,68,3,711,184,45,156,119,99,274,2,7,300.0,0.27710843373493976,0.27835051546391754,0.2587904360056259,0.28846153846153844,237.0,61.333333333333336,15.0,52.0,39.666666666666664,33.0,1,1,1
424,110,15,70,47,36,7,2130,544,38,335,174,258,292,6,3,490.0,0.25943396226415094,0.21428571428571427,0.25539906103286386,0.11343283582089553,304.2857142857143,77.71428571428571,5.428571428571429,47.857142857142854,24.857142857142858,36.857142857142854,1,1,1
233,49,2,41,23,18,8,1350,336,7,166,122,106,102,132,10,375.0,0.21030042918454936,0.04878048780487805,0.24888888888888888,0.04216867469879518,168.75,42.0,0.875,20.75,15.25,13.25,0,0,0
566,154,22,76,84,43,14,6100,1583,131,743,693,300,316,439,10,750.0,0.27208480565371024,0.2894736842105263,0.2595081967213115,0.17631224764468373,435.7142857142857,113.07142857142857,9.357142857142858,53.07142857142857,49.5,21.428571428571427,0,1,0
641,198,31,101,108,41,5,2129,610,92,297,319,117,269,17,10,1175.0,0.3088923556942278,0.3069306930693069,0.28651949271958665,0.30976430976430974,425.8,122.0,18.4,59.4,63.8,23.4,0,0,0
215,51,4,19,18,11,1,215,51,4,19,18,11,116,5,12,70.0,0.2372093023255814,0.21052631578947367,0.2372093023255814,0.21052631578947367,215.0,51.0,4.0,19.0,18.0,11.0,0,0,0
325,76,16,33,52,37,5,1506,351,71,195,219,214,726,87,3,385.0,0.23384615384615384,0.48484848484848486,0.23306772908366533,0.3641025641025641,301.2,70.2,14.2,39.0,43.8,42.8,1,1,0
574,152,31,91,101,64,3,985,260,53,148,173,95,1253,111,11,215.0,0.26480836236933797,0.34065934065934067,0.2639593908629442,0.3581081081081081,328.3333333333333,86.66666666666667,17.666666666666668,49.333333333333336,57.666666666666664,31.666666666666668,1,1,1
596,171,34,91,108,52,6,2862,728,107,361,401,224,118,334,21,900.0,0.28691275167785235,0.37362637362637363,0.2543675751222921,0.296398891966759,477.0,121.33333333333333,17.833333333333332,60.166666666666664,66.83333333333333,37.333333333333336,0,1,0
472,118,12,63,54,30,4,793,187,14,102,80,50,228,377,26,155.0,0.25,0.19047619047619047,0.23581336696090793,0.13725490196078433,198.25,46.75,3.5,25.5,20.0,12.5,0,1,0
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,144,6,5,700.0,0.27208480565371024,0.3111111111111111,0.27923976608187134,0.2830601092896175,427.5,119.375,16.1875,57.1875,66.6875,34.125,0,1,0
408,94,4,42,36,66,9,3573,866,59,429,365,410,282,487,19,535.0,0.23039215686274508,0.09523809523809523,0.24237335572348168,0.13752913752913754,397.0,96.22222222222223,6.555555555555555,47.666666666666664,40.55555555555556,45.55555555555556,1,1,1
327,85,3,30,44,20,8,2140,568,16,216,208,93,91,185,12,362.5,0.2599388379204893,0.1,0.26542056074766357,0.07407407407407407,267.5,71.0,2.0,27.0,26.0,11.625,0,0,0
370,96,21,49,46,60,15,6986,1972,231,1070,955,921,137,5,9,733.333,0.2594594594594595,0.42857142857142855,0.2822788434010879,0.21588785046728973,465.73333333333335,131.46666666666667,15.4,71.33333333333333,63.666666666666664,61.4,1,0,1
354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,83,174,16,200.0,0.2175141242937853,0.4444444444444444,0.2491968793024323,0.32764505119453924,435.8,108.6,19.2,58.6,63.35,52.85,1,1,1
539,139,5,93,58,69,5,1469,369,12,247,126,198,462,9,7,400.0,0.25788497217068646,0.053763440860215055,0.25119128658951667,0.048582995951417005,293.8,73.8,2.4,49.4,25.2,39.6,0,1,0
340,84,11,62,33,47,5,1516,376,42,284,141,219,185,8,4,400.0,0.24705882352941178,0.1774193548387097,0.24802110817941952,0.14788732394366197,303.2,75.2,8.4,56.8,28.2,43.8,1,0,0
510,126,2,42,44,35,11,5562,1578,44,703,519,256,207,358,20,737.5,0.24705882352941178,0.047619047619047616,0.2837108953613808,0.06258890469416785,505.6363636363636,143.45454545454547,4.0,63.90909090909091,47.18181818181818,23.272727272727273,1,1,1
282,78,13,37,51,29,5,1649,453,73,211,280,138,670,57,5,500.0,0.2765957446808511,0.35135135135135137,0.27471194663432386,0.3459715639810427,329.8,90.6,14.6,42.2,56.0,27.6,0,1,0
380,120,5,54,51,31,8,3118,900,92,444,419,240,237,8,1,600.0,0.3157894736842105,0.09259259259259259,0.28864656831302116,0.2072072072072072,389.75,112.5,11.5,55.5,52.375,30.0,0,1,0
584,158,15,70,84,42,5,2358,636,58,265,316,134,331,20,4,662.5,0.2705479452054795,0.21428571428571427,0.2697201017811705,0.2188679245283019,471.6,127.2,11.6,53.0,63.2,26.8,1,0,1
570,169,21,72,88,38,7,3754,1077,140,492,589,263,295,15,5,950.0,0.2964912280701754,0.2916666666666667,0.2868939797549281,0.2845528455284553,536.2857142857143,153.85714285714286,20.0,70.28571428571429,84.14285714285714,37.57142857142857,0,1,0
306,104,14,50,58,25,7,2954,822,55,313,377,187,116,222,15,750.0,0.33986928104575165,0.28,0.27826675693974273,0.1757188498402556,422.0,117.42857142857143,7.857142857142857,44.714285714285715,53.857142857142854,26.714285714285715,1,0,1
220,54,10,30,39,31,5,1185,299,40,145,154,128,50,136,20,297.5,0.24545454545454545,0.3333333333333333,0.2523206751054852,0.27586206896551724,237.0,59.8,8.0,29.0,30.8,25.6,1,0,1
278,70,7,22,37,18,18,7186,2081,190,935,1088,643,0,0,0,325.0,0.2517985611510791,0.3181818181818182,0.28959087113832455,0.20320855614973263,399.22222222222223,115.61111111111111,10.555555555555555,51.94444444444444,60.44444444444444,35.72222222222222,0,1,0
445,99,1,46,24,29,4,618,129,1,72,31,48,278,415,16,87.5,0.22247191011235956,0.021739130434782608,0.2087378640776699,0.013888888888888888,154.5,32.25,0.25,18.0,7.75,12.0,0,1,0
143,39,5,18,30,15,9,639,151,16,80,97,61,138,15,1,175.0,0.2727272727272727,0.2777777777777778,0.23630672926447574,0.2,71.0,16.77777777777778,1.7777777777777777,8.88888888888889,10.777777777777779,6.777777777777778,1,1,1
185,40,4,23,11,18,3,524,125,7,58,37,47,97,2,2,90.0,0.21621621621621623,0.17391304347826086,0.2385496183206107,0.1206896551724138,174.66666666666666,41.666666666666664,2.3333333333333335,19.333333333333332,12.333333333333334,15.666666666666666,1,0,1
589,170,40,107,108,69,6,2325,634,128,371,376,238,368,20,3,1237.5,0.28862478777589134,0.37383177570093457,0.27268817204301077,0.3450134770889488,387.5,105.66666666666667,21.333333333333332,61.833333333333336,62.666666666666664,39.666666666666664,0,0,0
343,103,6,48,36,40,15,4338,1193,70,581,421,325,211,56,13,430.0,0.30029154518950435,0.125,0.27501152604887047,0.12048192771084337,289.2,79.53333333333333,4.666666666666667,38.733333333333334,28.066666666666666,21.666666666666668,0,0,0
438,103,2,65,32,71,2,440,103,2,67,32,71,276,7,9,100.0,0.23515981735159816,0.03076923076923077,0.2340909090909091,0.029850746268656716,220.0,51.5,1.0,33.5,16.0,35.5,0,1,1
600,144,33,85,117,65,2,696,173,38,101,130,69,319,4,14,165.0,0.24,0.38823529411764707,0.24856321839080459,0.37623762376237624,348.0,86.5,19.0,50.5,65.0,34.5,0,1,0
663,200,29,108,121,32,4,1447,404,57,210,222,68,241,8,6,250.0,0.30165912518853694,0.26851851851851855,0.2791983413959917,0.2714285714285714,361.75,101.0,14.25,52.5,55.5,17.0,0,0,0
232,55,9,34,23,45,12,4405,1213,194,702,705,625,623,35,3,1300.0,0.23706896551724138,0.2647058823529412,0.2753688989784336,0.27635327635327633,367.0833333333333,101.08333333333333,16.166666666666668,58.5,58.75,52.083333333333336,1,0,1
479,133,10,48,72,55,17,7472,2147,153,980,1032,854,237,5,4,773.333,0.2776617954070981,0.20833333333333334,0.2873394004282655,0.15612244897959185,439.52941176470586,126.29411764705883,9.0,57.64705882352941,60.705882352941174,50.23529411764706,1,1,1
528,132,21,61,74,41,6,2641,671,97,273,383,226,885,105,8,1008.333,0.25,0.3442622950819672,0.25407042786823175,0.3553113553113553,440.1666666666667,111.83333333333333,16.166666666666668,45.5,63.833333333333336,37.666666666666664,1,0,1
160,39,8,18,31,22,14,2128,543,56,304,268,298,33,3,0,275.0,0.24375,0.4444444444444444,0.2551691729323308,0.18421052631578946,152.0,38.785714285714285,4.0,21.714285714285715,19.142857142857142,21.285714285714285,0,0,0
599,183,10,80,74,32,5,2482,715,27,330,326,158,231,374,18,775.0,0.3055091819699499,0.125,0.28807413376309426,0.08181818181818182,496.4,143.0,5.4,66.0,65.2,31.6,0,0,0
497,136,7,58,38,26,11,3871,1066,40,450,367,241,304,347,10,850.0,0.27364185110663986,0.1206896551724138,0.27538103849134593,0.08888888888888889,351.90909090909093,96.9090909090909,3.6363636363636362,40.90909090909091,33.36363636363637,21.90909090909091,0,0,0
210,70,13,32,51,28,15,4040,1130,97,544,462,551,0,0,0,365.0,0.3333333333333333,0.40625,0.27970297029702973,0.17830882352941177,269.3333333333333,75.33333333333333,6.466666666666667,36.266666666666666,30.8,36.733333333333334,0,0,0
151,41,4,26,21,19,2,288,68,9,45,39,35,28,56,2,95.0,0.271523178807947,0.15384615384615385,0.2361111111111111,0.2,144.0,34.0,4.5,22.5,19.5,17.5,0,1,0
278,86,4,33,38,45,1,278,86,4,33,38,45,102,4,2,110.0,0.30935251798561153,0.12121212121212122,0.30935251798561153,0.12121212121212122,278.0,86.0,4.0,33.0,38.0,45.0,1,1,1
341,95,6,48,42,20,10,2964,808,81,379,428,221,158,4,5,100.0,0.2785923753665689,0.125,0.2726045883940621,0.21372031662269128,296.4,80.8,8.1,37.9,42.8,22.1,1,1,1
537,147,23,58,88,47,10,2744,730,97,302,351,174,92,257,20,277.5,0.2737430167597765,0.39655172413793105,0.2660349854227405,0.3211920529801324,274.4,73.0,9.7,30.2,35.1,17.4,1,0,1
399,102,3,56,34,34,5,670,167,4,89,48,54,211,9,3,80.0,0.2556390977443609,0.05357142857142857,0.24925373134328357,0.0449438202247191,134.0,33.4,0.8,17.8,9.6,10.8,0,1,0
309,94,5,37,32,26,13,4618,1330,57,616,522,436,161,3,3,600.0,0.3042071197411003,0.13513513513513514,0.28800346470333477,0.09253246753246754,355.2307692307692,102.3076923076923,4.384615384615385,47.38461538461539,40.15384615384615,33.53846153846154,1,0,1
616,163,27,83,107,32,3,1437,377,65,181,227,82,110,308,15,200.0,0.26461038961038963,0.3253012048192771,0.26235212247738343,0.35911602209944754,479.0,125.66666666666667,21.666666666666668,60.333333333333336,75.66666666666667,27.333333333333332,0,1,0
579,174,7,67,78,58,6,3053,880,32,366,337,218,280,479,5,657.0,0.3005181347150259,0.1044776119402985,0.2882410743530953,0.08743169398907104,508.8333333333333,146.66666666666666,5.333333333333333,61.0,56.166666666666664,36.333333333333336,1,0,1
165,39,2,13,9,16,3,196,44,2,18,10,18,332,19,2,75.0,0.23636363636363636,0.15384615384615385,0.22448979591836735,0.1111111111111111,65.33333333333333,14.666666666666666,0.6666666666666666,6.0,3.3333333333333335,6.0,0,1,1
257,66,5,31,26,32,14,3910,979,33,518,324,382,87,166,14,250.0,0.25680933852140075,0.16129032258064516,0.250383631713555,0.0637065637065637,279.2857142857143,69.92857142857143,2.357142857142857,37.0,23.142857142857142,27.285714285714285,1,1,0
